Company,Location,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Year,Month,Day,latitude,longitude,Success,RocketFamily
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1989-06-10,22:30:00,Delta II 6925,NAVSTAR II-2,Retired,Success,1989,6,10,28.448,-80.566,1.0,Delta
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1989-06-14,12:30:00,Cosmos-3M (11K65M),Kosmos 2027,Retired,Success,1989,6,14,62.929,40.577,1.0,Cosmos-3m
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1989-06-14,13:18:00,Titan IV(402)A,DSP,Retired,Success,1989,6,14,28.583,-80.577,1.0,Titan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1989-07-04,15:21:00,Cosmos-3M (11K65M),Nadiezhda nâ Â­4,Retired,Success,1989,7,4,62.929,40.577,1.0,Cosmos-3m
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989-07-12,00:14:00,Ariane 3,Olympus-1,Retired,Success,1989,7,12,5.239,-52.766,1.0,Ariane
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1989-07-24,00:00:00,Tsyklon-2,Kosmos 2033,Retired,Success,1989,7,24,46.07,62.99,1.0,Tsyklon-2
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1989-07-25,07:48:00,Cosmos-3M (11K65M),Kosmos 2034,Retired,Success,1989,7,25,62.929,40.577,1.0,Cosmos-3m
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-08-08,12:37:00,Space Shuttle Columbia,STS-28R,Retired,Success,1989,8,8,28.627,-80.621,1.0,Space
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-08-08,23:25:00,Ariane 44LP,"TVSAT-2, Hipparcos",Retired,Success,1989,8,8,5.25,-52.775,1.0,Ariane
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1989-08-18,05:58:00,Delta II 6925,NAVSTAR II-3,Retired,Success,1989,8,18,28.448,-80.566,1.0,Delta
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1989-08-27,22:59:00,Delta II 6925,BSB-R1,Retired,Success,1989,8,27,28.448,-80.565,1.0,Delta
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1989-08-28,00:14:00,Tsyklon-3,Kosmos 2037,Retired,Success,1989,8,28,62.92,40.58,1.0,Tsyklon-3
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1989-09-04,05:54:00,Titan 34D,DSCS-II-16 & DSCS-III-A2,Retired,Success,1989,9,4,28.562,-80.577,1.0,Titan
MHI,"LA-Y1, Tanegashima Space Center, Japan",1989-09-05,19:11:00,H-I UM-129A (6SO),Himawari 4,Retired,Success,1989,9,5,30.39,130.97,1.0,H-II
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1989-09-06,01:48:00,Titan II(23)G,USA-45,Retired,Success,1989,9,6,34.742,-120.62,1.0,Titan
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1989-09-14,09:49:00,Tsyklon-3,Kosmos 2038 to 2043,Retired,Success,1989,9,14,62.92,40.58,1.0,Tsyklon-3
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1989-09-25,08:56:00,Atlas-G Centaur-D1AR,FLTSATCOM-8,Retired,Success,1989,9,25,28.449,-80.545,1.0,Atlas
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1989-09-27,14:38:00,Molniya-M /Block ML,Molniya-1 nâ Â­139,Retired,Success,1989,9,27,62.931,40.577,1.0,Molniya-m
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1989-09-27,16:20:00,Tsyklon-2,Kosmos 2046,Retired,Success,1989,9,27,46.07,62.99,1.0,Tsyklon-2
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1989-09-28,00:04:00,Tsyklon-3,Intercosmos 24 & Magion 2,Retired,Success,1989,9,28,62.92,40.58,1.0,Tsyklon-3
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-10-18,16:53:00,Space Shuttle Atlantis,STS-34R,Retired,Success,1989,10,18,28.627,-80.621,1.0,Space
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1989-10-24,21:35:00,Tsyklon-3,Meteor-3 nâ Â­3,Retired,Success,1989,10,24,62.92,40.58,1.0,Tsyklon-3
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-10-27,23:05:00,Ariane 44L,Intelsat 6AF2,Retired,Success,1989,10,27,5.25,-52.775,1.0,Ariane
